API,year,month,oil
A_30015420120000,2015,FEB,0
A_30015420120000,2015,MAR,5329
A_30015420120000,2015,APR,2996
A_30015420120000,2015,MAY,2369
A_30015420120000,2015,JUN,1957
A_30015420120000,2015,JUL,1775
A_30015420120000,2015,AUG,1471
A_30015420120000,2015,SEP,1111
A_30015420120000,2015,DEC,0
A_30015420120000,2016,JAN,1
A_30015420120000,2016,FEB,1815
A_30015420120000,2016,MAR,1591
A_30015420120000,2016,APR,1224
A_30015420120000,2016,MAY,1103
A_30015420120000,2016,JUN,868
A_30015420120000,2016,JUL,941
A_30015420120000,2016,AUG,390
A_30015420120000,2016,OCT,655
A_30015420120000,2016,NOV,1396
A_30015420120000,2016,DEC,967
A_30015420120000,2017,JAN,872
A_30015420120000,2017,FEB,783
A_30015420120000,2017,MAR,552
A_30015420120000,2017,APR,718
A_30015420120000,2017,MAY,643
A_30015420120000,2017,JUN,571
A_30015420120000,2017,JUL,251
A_30015420120000,2017,AUG,0
A_30015420120000,2017,SEP,115
A_30015420120000,2017,OCT,1197
A_30015420120000,2017,NOV,0
A_30015420120000,2017,DEC,4
A_30015420120000,2018,JAN,823
A_30015420120000,2018,FEB,1158
A_30015420120000,2018,MAR,703
A_30015420120000,2018,APR,668
A_30015420120000,2018,MAY,638
A_30015420140000,2017,JAN,385
A_30015420140000,2017,FEB,34
A_30015420140000,2017,MAR,28
A_30015420140000,2017,APR,67
A_30015420140000,2017,MAY,34
A_30015420140000,2017,JUN,159
A_30015420140000,2017,JUL,78
A_30015420140000,2017,AUG,3
A_30015420140000,2017,SEP,3
A_30015420140000,2017,OCT,23
A_30015420140000,2017,NOV,3
A_30015420140000,2017,DEC,2
A_30015420140000,2018,JAN,3
A_30015420140000,2018,FEB,3
A_30015420140000,2018,MAR,3
A_30015420140000,2018,APR,3
A_30015420140000,2018,MAY,5
A_30015420220000,2015,SEP,249
A_30015420220000,2015,OCT,10850
A_30015420220000,2015,NOV,9420
A_30015420220000,2015,DEC,6460
A_30015420220000,2016,JAN,6523
A_30015420220000,2016,FEB,6897
A_30015420220000,2016,MAR,5670
A_30015420220000,2016,APR,2805
A_30015420220000,2016,MAY,2004
A_30015420220000,2016,JUN,1384
A_30015420220000,2016,JUL,2040
A_30015420220000,2016,AUG,1983
A_30015420220000,2016,SEP,1289
A_30015420220000,2016,OCT,1718
A_30015420220000,2016,NOV,1504
A_30015420220000,2016,DEC,479
A_30015420220000,2017,JAN,364
A_30015420220000,2017,FEB,956
A_30015420220000,2017,MAR,852
A_30015420220000,2017,APR,499
A_30015420220000,2017,MAY,313
A_30015420220000,2017,JUN,1617
A_30015420220000,2017,JUL,1406
A_30015420220000,2017,AUG,963
A_30015420220000,2017,SEP,1262
A_30015420220000,2017,OCT,1116
A_30015420220000,2017,NOV,1195
A_30015420220000,2017,DEC,1050
A_30015420220000,2018,JAN,1077
A_30015420220000,2018,FEB,908
A_30015420220000,2018,MAR,1016
A_30015420220000,2018,APR,863
A_30015420220000,2018,MAY,870
A_30015420300000,2015,OCT,1827
A_30015420300000,2015,NOV,30799
A_30015420300000,2015,DEC,24282
A_30015420300000,2016,JAN,16618
A_30015420300000,2016,FEB,15491
A_30015420300000,2016,MAR,14325
A_30015420300000,2016,APR,10718
A_30015420300000,2016,MAY,10905
A_30015420300000,2016,JUN,7358
A_30015420300000,2016,JUL,3434
A_30015420300000,2016,AUG,2465
A_30015420300000,2016,SEP,4824
A_30015420300000,2016,OCT,4258
A_30015420300000,2016,NOV,3624
A_30015420300000,2016,DEC,3435
A_30015420300000,2017,JAN,3937
A_30015420300000,2017,FEB,3084
A_30015420300000,2017,MAR,3301
A_30015420300000,2017,APR,2805
A_30015420300000,2017,MAY,1759
A_30015420300000,2017,JUN,2297
A_30015420300000,2017,JUL,3101
A_30015420300000,2017,AUG,2325
A_30015420300000,2017,SEP,1447
A_30015420300000,2017,OCT,3013
A_30015420300000,2017,NOV,2775
A_30015420300000,2017,DEC,2652
A_30015420300000,2018,JAN,3827
A_30015420300000,2018,FEB,2821
A_30015420300000,2018,MAR,3444
A_30015420300000,2018,APR,2597
A_30015420300000,2018,MAY,2373
A_30015420320000,2015,JUL,5261
A_30015420320000,2015,AUG,13251
A_30015420320000,2015,SEP,7360
A_30015420320000,2015,OCT,6484
A_30015420320000,2015,NOV,5832
A_30015420320000,2015,DEC,5336
A_30015420320000,2016,JAN,5237
A_30015420320000,2016,FEB,4402
A_30015420320000,2016,MAR,4502
A_30015420320000,2016,APR,3987
A_30015420320000,2016,MAY,3725
A_30015420320000,2016,JUN,3065
A_30015420320000,2016,JUL,2467
A_30015420320000,2016,AUG,2993
A_30015420320000,2016,SEP,2691
A_30015420320000,2016,OCT,2171
A_30015420320000,2016,NOV,2278
A_30015420320000,2016,DEC,1177
A_30015420320000,2017,JAN,1800
A_30015420320000,2017,FEB,1550
A_30015420320000,2017,MAR,1443
A_30015420320000,2017,APR,1235
A_30015420320000,2017,MAY,1085
A_30015420320000,2017,JUN,1080
A_30015420320000,2017,JUL,1084
A_30015420320000,2017,AUG,624
A_30015420320000,2017,SEP,729
A_30015420320000,2017,OCT,426
A_30015420320000,2017,NOV,822
A_30015420320000,2017,DEC,104
A_30015420320000,2018,JAN,1208
A_30015420320000,2018,FEB,1186
A_30015420320000,2018,MAR,1130
A_30015420320000,2018,APR,1631
A_30015420320000,2018,MAY,1174
A_30015420340000,2015,MAY,9637
A_30015420340000,2015,JUN,20821
A_30015420340000,2015,JUL,15571
A_30015420340000,2015,AUG,20415
A_30015420340000,2015,SEP,12078
A_30015420340000,2015,OCT,14168
A_30015420340000,2015,NOV,12353
A_30015420340000,2015,DEC,9544
A_30015420340000,2016,JAN,9187
A_30015420340000,2016,FEB,8949
A_30015420340000,2016,MAR,9051
A_30015420340000,2016,APR,8910
A_30015420340000,2016,MAY,8626
A_30015420340000,2016,JUN,7593
A_30015420340000,2016,JUL,7050
A_30015420340000,2016,AUG,6758
A_30015420340000,2016,SEP,6323
A_30015420340000,2016,OCT,5439
A_30015420340000,2016,NOV,9031
A_30015420340000,2016,DEC,6272
A_30015420340000,2017,JAN,3837
A_30015420340000,2017,FEB,4050
A_30015420370000,2015,APR,0
A_30015420370000,2015,MAY,0
A_30015420370000,2015,JUN,733
A_30015420370000,2015,JUL,2217
A_30015420370000,2015,AUG,2398
A_30015420370000,2015,SEP,2559
A_30015420370000,2015,OCT,1600
A_30015420370000,2015,NOV,1805
A_30015420370000,2015,DEC,1992
A_30015420370000,2016,JAN,1423
A_30015420370000,2016,FEB,1286
A_30015420370000,2016,MAR,1058
A_30015420370000,2016,APR,1058
A_30015420370000,2016,MAY,1821
A_30015420370000,2016,JUN,1435
A_30015420370000,2016,JUL,1510
A_30015420370000,2016,AUG,1336
A_30015420370000,2016,SEP,1216
A_30015420370000,2016,OCT,1376
A_30015420370000,2016,NOV,1728
A_30015420370000,2016,DEC,1461
A_30015420370000,2017,JAN,1028
A_30015420370000,2017,FEB,644
A_30015420370000,2017,MAR,876
A_30015420370000,2017,APR,400
A_30015420370000,2017,MAY,862
A_30015420370000,2017,JUN,1072
A_30015420370000,2017,JUL,170
A_30015420370000,2017,AUG,1060
A_30015420370000,2017,SEP,1367
A_30015420370000,2017,OCT,1255
A_30015420370000,2017,NOV,1520
A_30015420370000,2017,DEC,982
A_30015420370000,2018,JAN,1275
A_30015420370000,2018,FEB,582
A_30015420370000,2018,MAR,1895
A_30015420370000,2018,APR,955
A_30015420370000,2018,MAY,83
A_30015420590000,2015,APR,1637
A_30015420590000,2015,MAY,24680
A_30015420590000,2015,JUN,17993
A_30015420590000,2015,JUL,11306
A_30015420590000,2015,AUG,12415
A_30015420590000,2015,SEP,8843
A_30015420590000,2015,OCT,6791
A_30015420590000,2015,NOV,6175
A_30015420590000,2015,DEC,3683
A_30015420590000,2016,JAN,4446
A_30015420590000,2016,FEB,5333
A_30015420590000,2016,MAR,4414
A_30015420590000,2016,APR,3552
A_30015420590000,2016,MAY,3201
A_30015420590000,2016,JUN,2956
A_30015420590000,2016,JUL,2812
A_30015420590000,2016,AUG,2653
A_30015420590000,2016,SEP,2415
A_30015420590000,2016,OCT,2405
A_30015420590000,2016,NOV,2174
A_30015420590000,2016,DEC,2144
A_30015420590000,2017,JAN,1936
A_30015420590000,2017,FEB,2106
A_30015420590000,2017,MAR,1980
A_30015420590000,2017,APR,1750
A_30015420590000,2017,MAY,1735
A_30015420590000,2017,JUN,1676
A_30015420590000,2017,JUL,1662
A_30015420590000,2017,AUG,1295
A_30015420590000,2017,SEP,1543
A_30015420590000,2017,OCT,1634
A_30015420590000,2017,NOV,1650
A_30015420590000,2017,DEC,1000
A_30015420590000,2018,JAN,1372
A_30015420590000,2018,FEB,1119
A_30015420590000,2018,MAR,1847
A_30015420590000,2018,APR,1517
A_30015420590000,2018,MAY,1377
A_30015420610000,2015,SEP,4174
A_30015420610000,2015,OCT,17935
A_30015420610000,2015,NOV,18114
A_30015420610000,2015,DEC,12240
A_30015420610000,2016,JAN,5116
A_30015420610000,2016,FEB,7769
A_30015420610000,2016,MAR,7262
A_30015420610000,2016,APR,6186
A_30015420610000,2016,MAY,5242
A_30015420610000,2016,JUN,4112
A_30015420610000,2016,JUL,6468
A_30015420610000,2016,AUG,6609
A_30015420610000,2016,SEP,5404
A_30015420610000,2016,OCT,2006
A_30015420610000,2016,NOV,2171
A_30015420610000,2016,DEC,413
A_30015420610000,2017,FEB,716
A_30015420610000,2017,MAR,5288
A_30015420610000,2017,APR,5455
A_30015420610000,2017,MAY,5095
A_30015420610000,2017,JUN,4599
A_30015420610000,2017,JUL,4460
A_30015420610000,2017,AUG,3913
A_30015420610000,2017,SEP,3877
A_30015420610000,2017,OCT,3163
A_30015420610000,2017,NOV,3671
A_30015420610000,2017,DEC,3202
A_30015420610000,2018,JAN,3475
A_30015420610000,2018,FEB,2815
A_30015420610000,2018,MAR,2916
A_30015420610000,2018,APR,2129
A_30015420610000,2018,MAY,225
A_30015420620000,2015,APR,5686
A_30015420620000,2015,MAY,10039
A_30015420620000,2015,JUN,16573
A_30015420620000,2015,JUL,17333
A_30015420620000,2015,AUG,14274
A_30015420620000,2015,SEP,8447
A_30015420620000,2015,OCT,4835
A_30015420620000,2015,NOV,4695
A_30015420620000,2015,DEC,4343
A_30015420620000,2016,JAN,4778
A_30015420620000,2016,FEB,4328
A_30015420620000,2016,MAR,3546
A_30015420620000,2016,APR,1644
A_30015420620000,2016,MAY,2075
A_30015420620000,2016,JUN,2663
A_30015420620000,2016,JUL,3241
A_30015420620000,2016,AUG,2180
A_30015420620000,2016,SEP,2501
A_30015420620000,2016,OCT,2532
A_30015420620000,2016,NOV,2479
A_30015420620000,2016,DEC,1819
A_30015420620000,2017,JAN,1768
A_30015420620000,2017,FEB,1706
A_30015420620000,2017,MAR,2369
A_30015420620000,2017,APR,3237
A_30015420620000,2017,MAY,1671
A_30015420620000,2017,JUN,1389
A_30015420620000,2017,JUL,1168
A_30015420620000,2017,AUG,1109
A_30015420620000,2017,SEP,1135
A_30015420620000,2017,OCT,1302
A_30015420620000,2017,NOV,1276
A_30015420620000,2017,DEC,1531
A_30015420620000,2018,JAN,1206
A_30015420620000,2018,FEB,1062
A_30015420620000,2018,MAR,1774
A_30015420620000,2018,APR,1658
A_30015420620000,2018,MAY,1541
A_30015420710000,2015,MAY,11285
A_30015420710000,2015,JUN,10662
A_30015420710000,2015,JUL,8209
A_30015420710000,2015,AUG,12299
A_30015420710000,2015,SEP,11811
A_30015420710000,2015,OCT,16579
A_30015420710000,2015,NOV,7267
A_30015420710000,2015,DEC,14686
A_30015420710000,2016,JAN,14801
A_30015420710000,2016,FEB,11638
A_30015420710000,2016,MAR,11979
A_30015420710000,2016,APR,8475
A_30015420710000,2016,MAY,9239
A_30015420710000,2016,JUN,8180
A_30015420710000,2016,JUL,5747
A_30015420710000,2016,AUG,5127
A_30015420710000,2016,SEP,5039
A_30015420710000,2016,OCT,4411
A_30015420710000,2016,NOV,2443
A_30015420710000,2016,DEC,4489
A_30015420710000,2017,JAN,4198
A_30015420710000,2017,FEB,4483
A_30015420710000,2017,MAR,4320
A_30015420710000,2017,APR,1613
A_30015420710000,2017,MAY,3931
A_30015420710000,2017,JUN,3233
A_30015420710000,2017,JUL,3243
A_30015420710000,2017,AUG,2869
A_30015420710000,2017,SEP,429
A_30015420710000,2017,OCT,1251
A_30015420710000,2017,NOV,3009
A_30015420710000,2017,DEC,2792
A_30015420710000,2018,JAN,2215
A_30015420710000,2018,FEB,2584
A_30015420710000,2018,MAR,2726
A_30015420710000,2018,APR,2726
A_30015420710000,2018,MAY,2132
A_30015420720000,2015,MAR,17696
A_30015420720000,2015,APR,19132
A_30015420720000,2015,MAY,11940
A_30015420720000,2015,JUN,12852
A_30015420720000,2015,JUL,7199
A_30015420720000,2015,AUG,14716
A_30015420720000,2015,SEP,18760
A_30015420720000,2015,OCT,23707
A_30015420720000,2015,NOV,16496
A_30015420720000,2015,DEC,9251
A_30015420720000,2016,JAN,20801
A_30015420720000,2016,FEB,17042
A_30015420720000,2016,MAR,12370
A_30015420720000,2016,APR,9944
A_30015420720000,2016,MAY,10128
A_30015420720000,2016,JUN,9460
A_30015420720000,2016,JUL,7345
A_30015420720000,2016,AUG,8636
A_30015420720000,2016,SEP,7918
A_30015420720000,2016,OCT,6655
A_30015420720000,2016,NOV,5920
A_30015420720000,2016,DEC,5911
A_30015420720000,2017,JAN,5328
A_30015420720000,2017,FEB,4416
A_30015420720000,2017,MAR,4726
A_30015420720000,2017,APR,3245
A_30015420720000,2017,MAY,2991
A_30015420720000,2017,JUN,2986
A_30015420720000,2017,JUL,3621
A_30015420720000,2017,AUG,3036
A_30015420720000,2017,SEP,1682
A_30015420720000,2017,OCT,3940
A_30015420720000,2017,NOV,3406
A_30015420720000,2017,DEC,4083
A_30015420720000,2018,JAN,3477
A_30015420720000,2018,FEB,2183
A_30015420720000,2018,MAR,2207
A_30015420720000,2018,APR,2207
A_30015420720000,2018,MAY,2467
A_30015420730000,2015,APR,9627
A_30015420730000,2015,MAY,24766
A_30015420730000,2015,JUN,14154
A_30015420730000,2015,JUL,14086
A_30015420730000,2015,AUG,28043
A_30015420730000,2015,SEP,23825
A_30015420730000,2015,OCT,16463
A_30015420730000,2015,NOV,14448
A_30015420730000,2015,DEC,16222
A_30015420730000,2016,JAN,9960
A_30015420730000,2016,FEB,16520
A_30015420730000,2016,MAR,7090
A_30015420730000,2016,APR,8190
A_30015420730000,2016,MAY,8759
A_30015420730000,2016,JUN,7366
A_30015420730000,2016,JUL,7243
A_30015420730000,2016,AUG,7105
A_30015420730000,2016,SEP,4022
A_30015420730000,2016,OCT,9518
A_30015420730000,2016,NOV,6104
A_30015420730000,2016,DEC,5769
A_30015420730000,2017,JAN,5521
A_30015420730000,2017,FEB,4471
A_30015420730000,2017,MAR,4444
A_30015420730000,2017,APR,4663
A_30015420730000,2017,MAY,3884
A_30015420730000,2017,JUN,3737
A_30015420730000,2017,JUL,2527
A_30015420730000,2017,AUG,6006
A_30015420730000,2017,SEP,4468
A_30015420730000,2017,OCT,3787
A_30015420730000,2017,NOV,1589
A_30015420730000,2017,DEC,3779
A_30015420730000,2018,JAN,4082
A_30015420730000,2018,FEB,4124
A_30015420730000,2018,MAR,3219
A_30015420730000,2018,APR,3219
A_30015420730000,2018,MAY,1983
A_30015420780000,2015,MAY,22114
A_30015420780000,2015,JUN,19464
A_30015420780000,2015,JUL,17883
A_30015420780000,2015,AUG,15351
A_30015420780000,2015,SEP,12355
A_30015420780000,2015,OCT,11734
A_30015420780000,2015,NOV,11085
A_30015420780000,2015,DEC,9736
A_30015420780000,2016,JAN,11164
A_30015420780000,2016,FEB,8585
A_30015420780000,2016,MAR,8162
A_30015420780000,2016,APR,5773
A_30015420780000,2016,MAY,7812
A_30015420780000,2016,JUN,7351
A_30015420780000,2016,JUL,7496
A_30015420780000,2016,AUG,5867
A_30015420780000,2016,SEP,5398
A_30015420780000,2016,OCT,5273
A_30015420780000,2016,NOV,5645
A_30015420780000,2016,DEC,5312
A_30015420780000,2017,JAN,5170
A_30015420780000,2017,FEB,4664
A_30015420780000,2017,MAR,4927
A_30015420780000,2017,APR,4747
A_30015420780000,2017,MAY,4715
A_30015420780000,2017,JUN,1163
A_30015420780000,2017,JUL,156
A_30015420780000,2017,SEP,2195
A_30015420780000,2017,OCT,3827
A_30015420780000,2017,NOV,3587
A_30015420780000,2017,DEC,3578
A_30015420780000,2018,JAN,122
A_30015420780000,2018,FEB,1686
A_30015420780000,2018,MAR,2388
A_30015420780000,2018,APR,2104
A_30015420780000,2018,MAY,2175
A_30015420910000,2015,JAN,24072
A_30015420910000,2015,FEB,21909
A_30015420910000,2015,MAR,15844
A_30015420910000,2015,APR,10859
A_30015420910000,2015,MAY,9842
A_30015420910000,2015,JUN,4951
A_30015420910000,2015,JUL,8039
A_30015420910000,2015,AUG,10173
A_30015420910000,2015,SEP,4126
A_30015420910000,2015,OCT,7458
A_30015420910000,2015,NOV,8898
A_30015420910000,2015,DEC,4816
A_30015420910000,2016,JAN,5701
A_30015420910000,2016,FEB,4386
A_30015420910000,2016,MAR,4444
A_30015420910000,2016,APR,3845
A_30015420910000,2016,MAY,3923
A_30015420910000,2016,JUN,3248
A_30015420910000,2016,JUL,3398
A_30015420910000,2016,AUG,1882
A_30015420910000,2016,SEP,3250
A_30015420910000,2016,OCT,3419
A_30015420910000,2016,NOV,3337
A_30015420910000,2016,DEC,3030
A_30015420910000,2017,JAN,2718
A_30015420910000,2017,FEB,2500
A_30015420910000,2017,MAR,1300
A_30015420910000,2017,APR,5248
A_30015420910000,2017,MAY,2743
A_30015420910000,2017,JUN,2176
A_30015420910000,2017,JUL,2212
A_30015420910000,2017,AUG,1203
A_30015420910000,2017,OCT,2405
A_30015420910000,2017,NOV,2273
A_30015420910000,2017,DEC,1314
A_30015420910000,2018,JAN,2858
A_30015420910000,2018,FEB,1145
A_30015420910000,2018,MAR,1460
A_30015420910000,2018,APR,1460
A_30015420910000,2018,MAY,1798
A_30015420920000,2015,MAR,18200
A_30015420920000,2015,APR,19351
A_30015420920000,2015,MAY,17875
A_30015420920000,2015,JUN,8915
A_30015420920000,2015,JUL,9033
A_30015420920000,2015,AUG,10330
A_30015420920000,2015,SEP,8272
A_30015420920000,2015,OCT,6886
A_30015420920000,2015,NOV,4584
A_30015420920000,2015,DEC,4798
A_30015420920000,2016,JAN,4887
A_30015420920000,2016,FEB,4959
A_30015420920000,2016,MAR,4402
A_30015420920000,2016,APR,4150
A_30015420920000,2016,MAY,4354
A_30015420920000,2016,JUN,3647
A_30015420920000,2016,JUL,3176
A_30015420920000,2016,AUG,3906
A_30015420920000,2016,SEP,3331
A_30015420920000,2016,OCT,2899
A_30015420920000,2016,NOV,2710
A_30015420920000,2016,DEC,3353
A_30015420920000,2017,JAN,2648
A_30015420920000,2017,FEB,1942
A_30015420920000,2017,MAR,2995
A_30015420920000,2017,APR,1700
A_30015420920000,2017,MAY,2460
A_30015420920000,2017,JUN,2508
A_30015420920000,2017,JUL,2094
A_30015420920000,2017,AUG,2201
A_30015420920000,2017,SEP,1966
A_30015420920000,2017,OCT,1888
A_30015420920000,2017,NOV,2083
A_30015420920000,2017,DEC,2328
A_30015420920000,2018,JAN,2874
A_30015420920000,2018,FEB,991
A_30015420920000,2018,MAR,266
A_30015420920000,2018,APR,266
A_30015420920000,2018,MAY,2000
A_30015420980000,2015,MAY,29252
A_30015420980000,2015,JUN,52313
A_30015420980000,2015,JUL,36303
A_30015420980000,2015,AUG,29227
A_30015420980000,2015,SEP,20698
A_30015420980000,2015,OCT,17114
A_30015420980000,2015,NOV,13446
A_30015420980000,2015,DEC,10672
A_30015420980000,2016,JAN,10820
A_30015420980000,2016,FEB,8283
A_30015420980000,2016,MAR,7751
A_30015420980000,2016,APR,7020
A_30015420980000,2016,MAY,5132
A_30015420980000,2016,JUN,4766
A_30015420980000,2016,JUL,5966
A_30015420980000,2016,AUG,5437
A_30015420980000,2016,SEP,4864
A_30015420980000,2016,OCT,4572
A_30015420980000,2016,NOV,4072
A_30015420980000,2016,DEC,4249
A_30015420980000,2017,JAN,2378
A_30015420980000,2017,FEB,3674
A_30015420980000,2017,MAR,2739
A_30015420980000,2017,APR,2424
A_30015420980000,2017,MAY,2408
A_30015420980000,2017,JUN,2714
A_30015420980000,2017,JUL,2333
A_30015420980000,2017,AUG,2442
A_30015420980000,2017,SEP,2035
A_30015420980000,2017,OCT,2313
A_30015420980000,2017,NOV,2779
A_30015420980000,2017,DEC,2747
A_30015420980000,2018,JAN,2541
A_30015420980000,2018,FEB,2399
A_30015420980000,2018,MAR,2330
A_30015420980000,2018,APR,2076
A_30015420980000,2018,MAY,2082
A_30015421050000,2016,JUN,27631
A_30015421050000,2016,JUL,55938
A_30015421050000,2016,AUG,41215
A_30015421050000,2016,SEP,29401
A_30015421050000,2016,OCT,22041
A_30015421050000,2016,NOV,18232
A_30015421050000,2016,DEC,16055
A_30015421050000,2017,JAN,12204
A_30015421050000,2017,FEB,13064
A_30015421050000,2017,MAR,10329
A_30015421050000,2017,APR,8328
A_30015421050000,2017,MAY,7193
A_30015421050000,2017,JUN,6555
A_30015421050000,2017,JUL,5354
